date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:48	3136/3136	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:21%20GMT	https://mintslotienft.com/index_files/619e255d088979c1e244f5e3_1_nasdaq.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/619e255d088979c1e244f5e3_1_nasdaq.svg	(from https://mintslotienft.com/)
19:48:48	2945/2945	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:22%20GMT	https://mintslotienft.com/index_files/619e256c9d63276b0759c54f_1_marketwach.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/619e256c9d63276b0759c54f_1_marketwach.svg	(from https://mintslotienft.com/)
19:48:49	6301/6301	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:59:22%20GMT	https://mintslotienft.com/index_files/619e417784f97c253f8a3dec_1_coinspeaker.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/619e417784f97c253f8a3dec_1_coinspeaker.svg	(from https://mintslotienft.com/)
19:48:49	741/741	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2009%20Feb%202022%2006:54:23%20GMT	https://mintslotienft.com/index_files/617c13c06f34d211cecda2cc_Icon%20-%20Quote.svg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/617c13c06f34d211cecda2cc_Icon%20-%20Quote.svg	(from https://mintslotienft.com/)
19:48:50	172689/172689	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Feb%202022%2006:55:30%20GMT	https://mintslotienft.com/index_files/61893410dd6b3875959a568b_Aztec%20God%20(1).png	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/61893410dd6b3875959a568b_Aztec%20God%20(1).png	(from https://mintslotienft.com/)
19:48:50	80515/80515	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Feb%202022%2006:56:24%20GMT	https://mintslotienft.com/index_files/618935f503b8cd05bfaf0c08_Medusa%20Gorgona%20(1).jpg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/618935f503b8cd05bfaf0c08_Medusa%20Gorgona%20(1).jpg	(from https://mintslotienft.com/)
19:48:51	81917/81917	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Feb%202022%2006:56:24%20GMT	https://mintslotienft.com/index_files/618935e965e0fb973d961aed_Irish%20Lucky.jpg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/618935e965e0fb973d961aed_Irish%20Lucky.jpg	(from https://mintslotienft.com/)
19:48:51	390478/390478	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Feb%202022%2007:01:46%20GMT	https://mintslotienft.com/index_files/client.js	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/client.js	(from https://mintslotienft.com/)
19:48:51	58495/58495	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Feb%202022%2006:56:18%20GMT	https://mintslotienft.com/index_files/618935d78f80ad5794eb4e4f_Pharaoh%20(1).jpg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/618935d78f80ad5794eb4e4f_Pharaoh%20(1).jpg	(from https://mintslotienft.com/)
19:48:52	56427/56427	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Feb%202022%2006:55:58%20GMT	https://mintslotienft.com/index_files/618935cc7ba01884d4fca331_Casino%20Man%20(2).jpg	C:/My%20Web%20Sites/mint/mintslotienft.com/index_files/618935cc7ba01884d4fca331_Casino%20Man%20(2).jpg	(from https://mintslotienft.com/)
